Title,Original Title,Country,Translated Language,Author,Author Name,Translator,Translation and Publication Support,Publisher,Published Year,Classification,ISBN
Un éclair bleu azur,푸르른 틈새,FRANCE,French(Français),Yeo-seon Kwon,권여선,Kevin Jasmin-Hamard,N,La croisée,2024,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9782413085072
LABERINTOS DE NEÓN,한국현대여성문학선집,ARGENTINA,Spanish(Español),"Chung Serang,Baek Su Rin,Jang ","정세랑,백수린,장류","Maitane Doniz Fuentes,Danier Rodriguez Cornejo,Yun Yumy",Y,Hwarang Editorial,2021,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9789878685267
L&apos;espera,기다림,SPAIN,Catalan(Català),KEUM SUK GENDRY-KIM,김금숙,Yasmine Bonjoch Luna,N,Reservoir Books,2024,KDC구분 > Social science > Sociology and social problems,9788419940575
カクテル、ラブ、ゾンビ,"칵테일, 러브, 좀비",JAPAN,Japanese(日本語),チョ・イェウン,조예은,カン・バンファ,Y,かんき出版,2024,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century > Short Story,9784761277567
"At Night, Listening to the Night of Destruction",멸망의 밤을 듣는 밤,SOUTH KOREA,English(English),Kim Myoung Ki,김명기,Jeon Seung-hee,Y,ASIA Publishers,2024,KDC구분 > literature > Korean Literature > Korean Poetry > 21st century poetry,9791156627128
ＴＵＢＥ,튜브,JAPAN,Japanese(日本語),ソン・ウォンピョン,손원평,矢島暁子,Y,祥伝社,2024,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9784396636654
Syncopation,싱코페이션,SOUTH KOREA,English(English),Kim Sono,김선오,Eunice Lee,Y,ASIA Publishers,2024,KDC구분 > literature > Korean Literature > Korean Poetry > 21st century poetry,9791156627142
L&apos;arbre nu,나목,FRANCE,French(Français),Pak Wan-seo,박완서,"Seora Song,Aurélien Laroulandie",Y,Atelier des Cahiers,2024,KDC구분 > literature > Korean Literature > Korean Fiction > 20th century > 1945-1999,9791091555531
CONTRAPESO,평형추,BRAZIL,Portuguese(Português),DJUNA,듀나,Luis Girão,Y,Suma,2024,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century > SF >  Fantasy,9788556512345
Heungboga,판소리 흥보가 (동편제),FRANCE,French(Français),,,"Han Yumi,Hervé Péjaudier",Y,Editions Imago,2024,KDC구분 > literature > Korean Literature > Satire,9782380891201
Anklagelsen,고발,SWEDEN,Swedish(Svenska),Bandi,반디,Ragna Essén,N,Natur   Kultur Allmänlitteratur,2017,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century > Short Story,9789127150263
Contos de fadas coreanos,조선의 민화,BRAZIL,Portuguese(Português),"Im Bang,Yi Ryuk","임방,이륙","James S. Gale,Novo Século",N,Novo Século,2023,KDC구분 > literature > Korean Literature > Korean Fiction > Joseon Dynasty,9786555615524
Tabi ki Senden Hoşlanıyorum,당연하게도 나는 너를,TURKIYE,Turkish(Türkçe),Lee Kkoch-nim,이꽃님,Şebnem Çiğdem Nacioğlu,Y,Athica Books,2024,"KDC구분 > literature > Korean Literature > Korean Fiction > 21st century > Romance
KDC구분 > literature > Korean Literature > Korean Fiction > 21st century > Mystery >  Thriller >  Horror",9786256335639
مستشار,컨설턴트,EGYPT,Arabic(اللغة العربية),ايم سيونجسون,임성순,بسمة شكري,Y,العربى للنشر والتوزيع,2024,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9789773198732
Die Legende vom Tränenvogel 2,눈물을 마시는 새 2,GERMANY,German(Deutsch),Lee Young-do,이영도,"Sun Young Yun,Philipp Haas,Alexandra Schiefert",N,Heyne Publishing House,2024,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century > SF >  Fantasy,9783453274624
ディア・マイ・シスター,이제야 언니에게,JAPAN,Japanese(日本語),チェ・ジニョン,최진영,すんみ,Y,亜紀書房,2024,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9784750518510
Bienvenidos a la librería Hyunam-Dong,"어서 오세요, 휴남동 서점입니다",SPAIN,Spanish(Español),HWANG BO-REUM,황보름,Andrea Rivas Alamillo,N,Espasa,2024,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9788467074727
"Vorrei farla finita, ma anche mangiare toppokki",죽고 싶지만 떡볶이는 먹고 싶어,ITALY,Italian(Italiano),Baek Sehee,백세희,Andrea De Benedittis,N,Mondadori,2023,KDC구분 > literature > Korean Literature > Essay > 21st century,9788804771531
عندما تتفتح زهور الحنطة السوداء,메밀꽃 필 무렵,EGYPT,Arabic(اللغة العربية),لي هيو سيوك,이효석,أيمن محمد سعد,Y,دار خان,2012,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,97897762997333
ผู้ชาย เขา ผู้หญิง เธอ,그 남자 그 여자,THAILAND,Thai(ภาษาไทย),ลีมีนา,이미나,ลีจีอึน,N,เนชั่นบุ๊คส์ อินเตอร์เนชั่นแนล,2005,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9789749698082
Mandel,아몬드,GERMANY,German(Deutsch),Won-Pyung Sohn,손원평,Sebastian Bring,N,Blumenbar,2024,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9783351051266
이름 없는 여자의 여덟 가지 인생,8 Lives of a Century-Old Trickster,SOUTH KOREA,Korean(한국어),이미리내,이미리내,정해영,N,위즈덤하우스,2024,KDC구분 > literature > English and American literatures,9791171712335
GREEK LESSONS,희랍어 시간,UNITED KINGDOM,English(English),Han Kang,한강,"Deborah Smith,E. Yaewon",Y,Penguin UK,2024,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9780241997062
Asansör,평형추,TURKIYE,Turkish(Türkçe),DJUNA,듀나,Derya Çelik,Y,DEX,2024,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century > SF >  Fantasy,9786256932685
La espera,기다림,SPAIN,Spanish(Español),KEUM SUK GENDRY-KIM,김금숙,Joo Hasun,Y,Reservoir Books / Penguin Random House Grupo Edito,2024,KDC구분 > Social science > Sociology and social problems,9788418897771
Korean Sinitic Poetry from Ancient Times to 1945,한국  한시 선집,NETHERLANDS,English(English),CH`OE CHI`I-WŎN,최치원,"Ji-Eun Lee,Jang Wu Lee,David R. McCann",Y,Brill,2024,KDC구분 > literature > Korean Literature > Korean Poetry > Sijo,9789004521537
Panna Kim wie,우리가 쓴 것,POLAND,Polish(Polski),CHO NAM-JOO,조남주,Ewa Ratajczyk,N,Mando,2023,"KDC구분 > literature > Korean Literature > Complete Collection >  Library > Complete Collection (individual)
KDC구분 > literature > Korean Literature > Korean Fiction > 21st century > Short Story",9788327731494
Roadkill,로드킬,UNITED KINGDOM,English(English),Amil,김지현,Archana Madhavan,N,Harvill Secker,2025,KDC구분 > literature > Korean Literature > Korean Fiction,9781787304857
ソヨンドン物語,서영동 이야기,JAPAN,Japanese(日本語),チョ・ナムジュ,조남주,古川 綾子,Y,筑摩書房,2024,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9784480832214
La déesse qui rêvait du ciel,If You Leave Me,FRANCE,French(Français),Crystal Hana Kim,Crystal Ha,Suzy Borello,N,Hauteville,2024,KDC구분 > literature > English and American literatures,9782381228020
Créatures du petit pays,Beasts of a Little Land,FRANCE,French(Français),Juhea Kim,Juhea Kim,Anne-Sylvie Homassel,N,10 X 18,2024,KDC구분 > literature > English and American literatures,9782264083074
S’aimer dans la grande ville,대도시의 사랑법,FRANCE,French(Français),Sang Young Park,박상영,"Kyungran Choi,Pierre Bisiou",Y,La croisée,2024,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9782413086130
Tube,튜브,INDONESIA,Indonesian(Bahasa Indonesia),Sohn Won-pyung,손원평,Suci Anggunisa Pertiwi,N,Gramedia Widiasarana Indonesia,2024,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9786020530819
Les 30 meilleures façons d&apos;assassiner son mari,남편을 죽이는 서른가지 방법,FRANCE,French(Français),SEO MI-AE,서미애,"Jihyun Kwon,Rémi Delmas",N,Le Livre De Poche,2023,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century > Mystery >  Thriller >  Horror,9782253245674
ハルビン,하얼빈,JAPAN,Japanese(日本語),김훈,김훈,蓮池薰,N,新潮社,2024,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century > Historical >  Biographical >  Political >  Social,9784105901943
敬愛の心,경애의 마음,JAPAN,Japanese(日本語),キム・グミ,김금희,すんみ,Y,晶文社,2024,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9784794973917
Washing A Myna,구관조 씻기기,UNITED STATES,English(English),Hwang InChan,황인찬,Eun-Gwi Chung,Y,Black Square Editions,2024,KDC구분 > literature > Korean Literature > Korean Poetry > 21st century poetry,9798986036960
SAIGON NIGHT,사이공 나이트,FRANCE,French(Français),JUNG MIN,정민,"Jeong-min DOMISSY-LEE,Julien PAOLUCCI",Y,Decrescenzo éditeurs,2024,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9782367271088
cruzaré el tiempo por ti,세계를 건너 너에게 갈게,MEXICO,Spanish(Español),Lee Kkoch-nim,이꽃님,Álvaro Trigo Maldonado,Y,Océano Gran Travesía,2024,KDC구분 > literature > Korean Literature > Children and Adolescents,9786075579450
Sur la route de BTS,BTS 길 위에서,FRANCE,French(Français),HONG Seok-kyeong,홍석경,Decrescenzo éditeurs,Y,Decrescenzo éditeurs,2024,KDC구분 > Social science > Sociology and social problems > Sociology > Effects of social conditions and factors on the arts,9782367271477
北朝鮮に出勤します,나는 개성공단으로 출근합니다,JAPAN,Japanese(日本語),キム.ミンジュ,김민주,岡 裕美,Y,新泉社,2024,KDC구분 > literature > Korean Literature > Essay > 21st century,9784787724007
鳥的禮物,새의 선물,TAIWAN,Chinese(繁體),殷熙耕,은희경,簡郁璇,Y,漫遊者文化事業股份有限公司,2024,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9789864899753
Iarba,풀,ROMANIA,Romanian(Română),Keum Suk Gendry-Kim,김금숙,Iolanda Prodan,Y,ALICE BOOKS,2024,KDC구분 > Social science > Sociology and social problems,9786069569320
Badem,아몬드,SERBIA,Serbian(српски),VONPJONG SON,손원평,Igor Solunac,N,Dereta,2023,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9788664574723
生命中的折叠,접으면,CHINA,Chinese(简体),"金允瀞,崔德奎","김윤정,최덕규",徐丽红,N,接力出版社,2024,KDC구분 > literature > Korean Literature > Children and Adolescents,9787544885041
望遠洞兄弟,망원동 브라더스,TAIWAN,Chinese(繁體),金浩然,김호연,陳品芳,N,寂寞,2023,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century > Others,9786269754151
I Am the Subway,나는 지하철입니다,UNITED KINGDOM,English(English),Kim Hyo-eun,김효은,Deborah Smith,N,Scribble UK,2022,KDC구분 > literature > Korean Literature > Children and Adolescents,9781913348588
One Day,"어느 날,",UNITED STATES,English(English),Lee Juck,이적,"Asuka Minamoto,Dianne Chung,Juck Lee",N,Enchanted Lion Books,2022,KDC구분 > literature > Korean Literature > Children and Adolescents,9781592703135
Magic Candies,알사탕,UNITED STATES,English(English),Hee Na Baek,백희나,Sophie Bowman,N,Amazon Crossing Kids,2021,KDC구분 > literature > Korean Literature > Children and Adolescents,9781542029599
Moon Pops,달 샤베트,CANADA,English(English),Hee Na Baek,백희나,Jieun Kiaer,N,Owlkids,2021,KDC구분 > Philosophy,9781771474290
"It’s OK, Slow Lizard","괜찮아, 천천히 도마뱀",UNITED STATES,English(English),Yeorim Yoon,윤여림,Chi-Young Kim,N,Restless Books,2021,KDC구분 > literature > Korean Literature > Children and Adolescents,9781632062772
Мадам Таро,마담 타로,RUSSIAN FEDERATION,Russian(Русский),Ли Суа,이수아,"Похолкова Екатерина Анатольевна,Алёна Мударисова",N,Inspiria,2024,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century > Mystery >  Thriller >  Horror,9785041844103
Звери малой земли,Beasts of a Little Land,RUSSIAN FEDERATION,Russian(Русский),Чухе Ким,Juhea Kim,Батыгин Кирилл,N,Inspiria,2024,KDC구분 > literature > English and American literatures,9785041622855
Прачечная души Мэриголд,메리골드 마음 세탁소,RUSSIAN FEDERATION,Russian(Русский),Юн Чжон Ын,윤정은,"Е. А. Похолкова,Д. В. Мавлеева",Y,АСТ Мейнстрим,2024,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century > SF >  Fantasy,9785171607920
Аптека сердечных дел семьи Ботеро,보테로 가족의 사랑 약국,RUSSIAN FEDERATION,Russian(Русский),Ли Сонён,이선영,"Ekaterina Pokholkova,Evgeniya Ponkratova",N,АСТ Мейнстрим,2024,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9785171561963
Магазин шаговой недоступности,불편한 편의점,RUSSIAN FEDERATION,Russian(Русский),Ким Хоён,김호연,"Е. А. Похолкова,Д. В. Мавлеева",N,Издательство АСТ,2024,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9785171595845
Обыкновенное зло,선량한 시민,RUSSIAN FEDERATION,Russian(Русский),Ким Сочжин,김서진,"Е. А. Похолкова,Д. В. Мавлеева",N,Inspiria,2023,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9785041707590
Настоящий я,나나,RUSSIAN FEDERATION,Russian(Русский),Хиён Ли,이희영,Мавлеева Д. В.,N,АСТ Мейнстрим,2023,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9785171538101
"Непостижимая ночь, неразгаданный день",알려지지 않은 밤과 하루,RUSSIAN FEDERATION,Russian(Русский),Суа Пэ,배수아,"Е. А. Похолкова,Эмилия Томчина",N,Inspiria,2021,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9785041597153
Plastic Rice,Plastic Rice(미공개 작품),SOUTH KOREA,English(English),JooWook Kim,김주욱,K.H. Yoo,N,Nabiwabook,2024,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,-
Waltzing with Mosquitoes,모기와 왈츠를,SOUTH KOREA,English(English),JooWook Kim,김주욱,K.H. Yoo,N,Nabiwabook,2024,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9791197648267
KHÔNG CÓ TUYỆT VỌNG TRÊN INSTAGRAM,인스타그램에는 절망이 없다,VIET NAM,Vietnamese(Tiếng Việt),Jeong Jiwoo,정지우,Vương Thúy Quỳnh Anh,Y,Nhã Nam,2024,KDC구분 > Social science > Sociology and social problems > Sociology,9786043107036
Müstəmləkə uşağı scrap,식민지 소년,ALGERIA,Azerbaijani(Azərbaycan dili),Kim Ha-gie,김하기,Abışov Zaur,N,Qanun Nəşriyyatı,2024,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century > Others,9789952388169
"Jini, Jinny","진이, 지니",INDONESIA,Indonesian(Bahasa Indonesia),JEONG YOU-JEONG,정유정,Iingliana,Y,Gramedia Pustaka Utama,2024,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9786020678269
Высокая небесная лестница,높고 푸른 사다리,RUSSIAN FEDERATION,Russian(Русский),Джиён Кон,공지영,Софья Кузина,Y,АСТ Мейнстрим,2024,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9785171474720
ふしぎな鏡をさがせ,잃어버린 거울,JAPAN,Japanese(日本語),キム・チェリン,김채린,カン・バンファ,Y,小学館,2024,KDC구분 > literature > Korean Literature > Children and Adolescents,9784092906723
Добро пожаловать в «Книжный в Хюнамдоне»,"어서 오세요, 휴남동 서점입니다",RUSSIAN FEDERATION,Russian(Русский),Хван Порым,황보름,"Е. А. Похолкова,Д. В. Мавлеева",Y,Издательство АСТ,2024,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9785171561918
Kisah Jarum dan Kulit,바늘과 가죽의 시,INDONESIA,Indonesian(Bahasa Indonesia),GU BYEONG-MO,구병모,Iingliana,Y,Gramedia Pustaka Utama,2024,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9786020677972
